OffenseID,UserName,Comment
41,bruce,'it is terrible'
41,kevin,'it is terrible'
41,foo,'it is terrible'
128,bar,'it is terrible'
339,faz,'it is terrible'
339,daz,'it is terrible'
41,gez,'it is terrible'
1147,bob,'it is terrible'
1170,james,'it is terrible'
41,danny,'it is terrible'
2091,cody,'it is terrible'
2688,kyle,'it is terrible'
3409,marcus,'it is terrible'
17334,gordan,'it is terrible'
21250,smash,'it is terrible'
27718,nina,'it is terrible'
32339,lisa,'it is terrible'
39076,fiona,'it is terrible'
50450,lizz,'it is terrible'
65649,tom,'it is terrible'
