Name,PositionId,Address1,Address2,Phone
University of Washington Police Department,1,3002 University Way NE,,2067748392
Seattle Central Police Department,2,321 Terry Ave NE,,2940573932
Sea-Tac Police Department,3,385 Big Dave Ave SE,,2947563942
Mountlake Police,4,220 Aurora St NE,,2947582029
Bellevue Police Office ,5,230 King St NE,,3742847593
Green Lake Police,6,1000 Fake Way SE,,4782018374
Internation District Police,11,5032 Jacson Way NE,,3748503274
Jakins Police Station,13,3452 Jakins St ,,4758372944
Functional Police Central,18,8394 Jane St,,4702938502
Redmon Police,20,3495 Redmon Ave,,4139081571
